employee_code,name,lastname,address,age,start_date,salary,position,department
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
12345,Richard,Robles,calle 59A #10a 52,28,2020-12-03,12000000,Python Developer,Development
